date,code,w
2020-03-31,000423.XSHE,0.00095
2020-03-31,000425.XSHE,0.00191
2020-03-31,000538.XSHE,0.0035099999999999997
2020-03-31,000568.XSHE,0.00433
2020-03-31,000596.XSHE,0.00106
2020-03-31,000625.XSHE,0.00166
2020-03-31,000627.XSHE,0.00094
2020-03-31,000629.XSHE,0.00077
2020-03-31,000630.XSHE,0.00101
2020-03-31,000651.XSHE,0.02019
2020-03-31,000656.XSHE,0.0013700000000000001
2020-03-31,000661.XSHE,0.00616
2020-03-31,000671.XSHE,0.00091
2020-03-31,000703.XSHE,0.00114
2020-03-31,000709.XSHE,0.00073
2020-03-31,000723.XSHE,0.00065
2020-03-31,000725.XSHE,0.00707
2020-03-31,000728.XSHE,0.00135
2020-03-31,000768.XSHE,0.0017599999999999998
2020-03-31,000776.XSHE,0.0032500000000000003
2020-03-31,000783.XSHE,0.00199
2020-03-31,000786.XSHE,0.0016
2020-03-31,000858.XSHE,0.01797
2020-03-31,000876.XSHE,0.00532
2020-03-31,000895.XSHE,0.00315
2020-03-31,000898.XSHE,0.00052
2020-03-31,000938.XSHE,0.00232
2020-03-31,000961.XSHE,0.00116
2020-03-31,000963.XSHE,0.00123
2020-03-31,001979.XSHE,0.00419
2020-03-31,002001.XSHE,0.0028299999999999996
2020-03-31,002007.XSHE,0.0032400000000000003
2020-03-31,002008.XSHE,0.00193
2020-03-31,002010.XSHE,0.00065
2020-03-31,002024.XSHE,0.0027
2020-03-31,002027.XSHE,0.00365
2020-03-31,002032.XSHE,0.00091
2020-03-31,002044.XSHE,0.0026
2020-03-31,002050.XSHE,0.00179
2020-03-31,002081.XSHE,0.00106
2020-03-31,002120.XSHE,0.00165
2020-03-31,002142.XSHE,0.00522
2020-03-31,002146.XSHE,0.00108
2020-03-31,002153.XSHE,0.00075
2020-03-31,002179.XSHE,0.00147
2020-03-31,002202.XSHE,0.00211
2020-03-31,002230.XSHE,0.00426
